segment,sub_segment_group,organization,sub_segment,location,website,likely_needs,buying_trigger,source_url,verified
"Export, FMCG & pharma","Spice, coconut, cinnamon, rice and processed-food exporters",KAP (Pvt) Ltd,Coconut,n/a,kaplk.com,"UHT coconut milk/water sleeves, DC retail packs, labels, shipping cartons","30,000 MT/yr exports from 3 factories, 100+ clients; ongoing demand",https://kaplk.com/,yes
"Export, FMCG & pharma","Spice, coconut, cinnamon, rice and processed-food exporters",Sena Mills Refineries Exports (Pvt) Ltd,Coconut oil,Colombo (verify),see source,"VCO bottle labels, retail cartons, shipping cartons","Largest coconut oil exporter, 60+ countries; cold-pressed VCO plant",https://www.srilankabusiness.com/exporters-directory/coconut-product-exporters-in-sri-lanka/kernel-product-manufacturers/virgin-coconut-oil-suppliers/,verify
"Export, FMCG & pharma","Spice, coconut, cinnamon, rice and processed-food exporters",Ceylon Exports & Trading (Coco House),Coconut,n/a,export-lanka.com,"VCO/coconut milk powder labels, retail cartons, sparkling water labels",Multi-certified; sparkling coconut water range; ongoing demand (exporter),https://export-lanka.com/,yes
"Export, FMCG & pharma","Spice, coconut, cinnamon, rice and processed-food exporters",Virco (Pvt) Ltd,Coconut,n/a,virco.lk,"VCO jar labels, coconut sugar/flour pouches, cartons",EDB-registered organic exporter; ongoing demand,https://virco.lk/,yes
"Export, FMCG & pharma","Spice, coconut, cinnamon, rice and processed-food exporters",Silvermill Group / Silvermill Natural Beverages,Coconut,Colombo (verify),see source,"Coconut beverage labels, DC cartons, shipping cartons",100+ years value-added coconut; ongoing demand (exporter),https://www.srilankabusiness.com/exporters-directory/company-profiles/silvermill-natural-beverages-pvt-ltd/,verify
"Export, FMCG & pharma","Spice, coconut, cinnamon, rice and processed-food exporters",Renuka Agri Foods PLC,Coconut,Colombo (HQ),renukagroup.com,"Coconut milk powder cartons, VCO labels, coconut water labels, shipping cartons",Exports to 50+ markets; own organic plantations; ongoing demand,http://renukagroup.com/agri_business_cocnut_products/index.php,yes
"Export, FMCG & pharma","Spice, coconut, cinnamon, rice and processed-food exporters",Serendipol (Pvt) Ltd,Coconut oil,Kuliyapitiya (verify),see source,"VCO labels, bulk/shipping cartons",Regenerative Organic Certified coconut oil; growth since 2007,https://www.srilankabusiness.com/exporters-directory/company-profiles/serendipol-pvt-ltd/,verify
"Export, FMCG & pharma","Spice, coconut, cinnamon, rice and processed-food exporters",Adamjee Lukmanjee & Sons,Coconut & spices,Colombo,see source,"DC retail packs, spice labels, shipping cartons",One of largest coconut kernel exporters; 100+ years; ongoing demand,https://www.cda.gov.lk/web/images/pdf/export_perfo/2020_exporters/COCONUT_KERNEL_PRODUCTS.pdf,yes
"Export, FMCG & pharma","Spice, coconut, cinnamon, rice and processed-food exporters",Cocotana Coconut Products,Coconut,Katana (Negombo),see source,"Labels, retail packs, shipping cartons",CDA-registered exporter; ongoing demand,https://www.cda.gov.lk/web/index.php?option=com_cda&view=products&Itemid=227&category_id=1&search=2294&lang=en,yes
"Export, FMCG & pharma","Spice, coconut, cinnamon, rice and processed-food exporters",Nidro Supply (Pvt) Ltd,Coconut,Katuneriya,see source,"DC/coconut product cartons, labels",CDA-registered exporter; ongoing demand,https://www.cda.gov.lk/web/index.php?option=com_cda&view=products&Itemid=227&category_id=1&search=2294&lang=en,yes
"Export, FMCG & pharma","Spice, coconut, cinnamon, rice and processed-food exporters",Tropikal Life International,Coconut,n/a,see source,"VCO labels, cartons",Listed among coconut oil manufacturers (details unverified),https://pharmchoices.com/list-of-coconut-oil-manufacturers-in-sri-lanka/,verify
"Export, FMCG & pharma","Spice, coconut, cinnamon, rice and processed-food exporters",Econutrena (Pvt) Ltd,Coconut,n/a,econutrena.com,"Organic coconut product labels, retail cartons",Organic coconut exporter; ongoing demand,https://www.econutrena.com/,yes
"Export, FMCG & pharma","Spice, coconut, cinnamon, rice and processed-food exporters",CBL Natural Foods (Sera),Coconut / FMCG,n/a,see source,"Coconut milk carton sleeves, labels, POS displays",Rs 2 bn investment to launch Sera coconut milk,https://bizenglish.adaderana.lk/cbl-invests-rs-2-billion-to-launch-new-coconut-milk-product-sera/,yes
"Export, FMCG & pharma","Spice, coconut, cinnamon, rice and processed-food exporters",Expo Commodities (Pvt) Ltd,"Spices, coconut, organic",Colombo (verify),see source,"Retail spice packs, labels, shipping cartons","NCE Gold (organic), Silver (spices), Merit (coconut) awards",https://www.dailymirror.lk/business-news/Expo-Commodities-secures-3-prestigious-NCE-Export-Awards/273-299645,verify
"Export, FMCG & pharma","Spice, coconut, cinnamon, rice and processed-food exporters",EOAS Organics (Pvt) Ltd,Spices,n/a,eoasorganics.com,"Retail spice pouches/labels, cartons",Organic spices/herbs sourced from 6 provinces; exporter,https://eoasorganics.com/,yes
"Export, FMCG & pharma","Spice, coconut, cinnamon, rice and processed-food exporters",Wijaya Products (Pvt) Ltd,Spices,n/a,see source,"Curry powder pouches, spice labels, cartons",EDB-registered exporter; ongoing demand,https://www.srilankabusiness.com/exporters-directory/company-profiles/wijaya-products-pvt-ltd/,yes
"Export, FMCG & pharma","Spice, coconut, cinnamon, rice and processed-food exporters",Samagi Spice Exports (Pvt) Ltd,Cinnamon/spices,n/a,see source,"Cinnamon retail packs, labels, shipping cartons",Own collection centres; among dominant spice exporters,https://www.tendata.com/blogs/export/10878.html,yes
"Export, FMCG & pharma","Spice, coconut, cinnamon, rice and processed-food exporters",New Lanka Cinnamon,Cinnamon,n/a,see source,"Cinnamon packs, labels, shipping cartons",Named among dominant cinnamon exporters in trade data,https://www.tendata.com/blogs/export/10878.html,yes
"Export, FMCG & pharma","Spice, coconut, cinnamon, rice and processed-food exporters",Rathna Producers Cinnamon Exports (Pvt) Ltd,Cinnamon,n/a,see source,"Cinnamon cartons, labels",MD on Spice Council; exporter,https://ankhangagri.com/top-cinnamon-exporters-in-sri-lanka/,yes
"Export, FMCG & pharma","Spice, coconut, cinnamon, rice and processed-food exporters",SDS Spices,Spices,n/a,see source,"Spice retail packs, labels",Exporter of Sri Lanka-unique spices; ongoing demand,https://ankhangagri.com/top-cinnamon-exporters-in-sri-lanka/,yes
"Export, FMCG & pharma","Spice, coconut, cinnamon, rice and processed-food exporters",Hela Nature Foods (Pvt) Ltd,Cinnamon,n/a,see source,"Cinnamon retail packs, labels",Listed top cinnamon exporter,https://www.srilankabusiness.com/exporters-directory/spices-exporters-in-sri-lanka/cinnamon-suppliers/,yes
"Export, FMCG & pharma","Spice, coconut, cinnamon, rice and processed-food exporters",A.S. Chatoor & Co Ltd,Cinnamon/spices,n/a,see source,"Cinnamon packs, labels",Listed top cinnamon exporter,https://www.srilankabusiness.com/exporters-directory/spices-exporters-in-sri-lanka/cinnamon-suppliers/,yes
"Export, FMCG & pharma","Spice, coconut, cinnamon, rice and processed-food exporters",Acril Holdings (Pvt) Ltd,Cinnamon,n/a,see source,"Cinnamon packs, labels",Listed top cinnamon exporter,https://www.srilankabusiness.com/exporters-directory/spices-exporters-in-sri-lanka/cinnamon-suppliers/,yes
"Export, FMCG & pharma","Spice, coconut, cinnamon, rice and processed-food exporters",Cinnatopia,Spices,n/a,cinnatopia.com,"Organic spice retail packs, labels",3rd-generation organic spice exporter,https://www.cinnatopia.com/,yes
"Export, FMCG & pharma","Spice, coconut, cinnamon, rice and processed-food exporters",PDR Cinnamon,Cinnamon,n/a,pdrcinnamon.com,"Cinnamon retail packs, labels",Cinnamon & spices exporter; ongoing demand,https://pdrcinnamon.com/,yes
"Export, FMCG & pharma","Spice, coconut, cinnamon, rice and processed-food exporters",Ceylon Spice Company,Spices/food processing,n/a,ceylonspicecompany.com,"Retail spice packs, cartons",Spice and food processor; ongoing demand,https://www.ceylonspicecompany.com/,yes
"Export, FMCG & pharma","Spice, coconut, cinnamon, rice and processed-food exporters",Samadi Export,Cinnamon,n/a,samadiexport.com,"Cinnamon packs, labels",Cinnamon exporter; ongoing demand,https://www.samadiexport.com/,yes
"Export, FMCG & pharma","Spice, coconut, cinnamon, rice and processed-food exporters",Bughary Bio Spices (Pvt) Ltd,Spices,n/a,see source,"Retail spice packs, labels","Emerging Exporter of the Year, Presidential Export Awards (Dec 2025)",https://www.srilankabusiness.com/news/27th-presidential-export-awards-presented-to-sri-lankan-exporters-in-recognition-of-their-exceptional-contributions-to-the-export-sector.html,yes
"Export, FMCG & pharma","Spice, coconut, cinnamon, rice and processed-food exporters",Hero Nature Products (Pvt) Ltd,Natural/processed food,n/a,see source,"Retail cartons, labels","Best SME Exporter (product sector), Presidential Export Awards 2025",https://www.srilankabusiness.com/news/27th-presidential-export-awards-presented-to-sri-lankan-exporters-in-recognition-of-their-exceptional-contributions-to-the-export-sector.html,yes
"Export, FMCG & pharma","Spice, coconut, cinnamon, rice and processed-food exporters",Imperial Spices (Pvt) Ltd,Spices,n/a,see source,"Spice retail packs, labels",NCE Gold award (export sector),https://impratea.com/our-achievements-awards/,yes
"Export, FMCG & pharma","Spice, coconut, cinnamon, rice and processed-food exporters",JAPC (Pvt) Ltd,Organic products,n/a,japc.lk,"Organic retail packs, labels",Award-winning organic exporter,https://japc.lk/our-awards/,yes
"Export, FMCG & pharma","Spice, coconut, cinnamon, rice and processed-food exporters",Lanka Canneries (MD),Processed food,Colombo (verify),mdfood.lk,"Jam/sauce jar labels, cordial labels, cartons, shrink sleeves",Exports to 32+ countries; 90-year brand; ongoing demand,https://mdfood.lk/export/,verify
"Export, FMCG & pharma","Spice, coconut, cinnamon, rice and processed-food exporters",HJS Condiments Ltd,Processed food,n/a,hjs-srilanka.com,"Retail jar labels, pouches, shipping cartons",Exports to 48 countries; ongoing demand (exporter),https://www.hjs-srilanka.com/,yes
"Export, FMCG & pharma","Spice, coconut, cinnamon, rice and processed-food exporters",MA's Tropical Food Processing (Pvt) Ltd,Processed food,Dambulla,see source,"Spice-mix cartons, curry paste labels, RTE pouches, soup packs",Broad retail range; exporter; ongoing demand,https://bizdata.lk/listing/mas-tropical-food-processing-pvt-ltd/,yes
"Export, FMCG & pharma","Spice, coconut, cinnamon, rice and processed-food exporters",Araliya Group / D&R Exports,Rice & food,n/a,araliyarice.com,"Printed rice bags, labels, retail cartons",Exports to 7 countries since 2002; ongoing demand,https://www.dandrexports.com/,yes
"Export, FMCG & pharma","Spice, coconut, cinnamon, rice and processed-food exporters",New Rathna Rice Mill,Rice,n/a,newrathnarice.com,"Printed rice bags, labels",Modern milling; ongoing demand,https://www.newrathnarice.com/,yes
"Export, FMCG & pharma","Spice, coconut, cinnamon, rice and processed-food exporters",Sobako,Rice-based foods,n/a,see source,"Retail cartons, pouches",Named among emerging processed-food exporters,https://www.planetfood.news/post/sri-lanka-moves-up-the-food-value-chain,yes
"Export, FMCG & pharma","Spice, coconut, cinnamon, rice and processed-food exporters",K & D Foods (Vegolicious),Plant-based food,n/a,see source,"Noodle/pasta cartons, cookie packs, labels","New high-protein multigrain noodles, pappadam, pasta, cookies launched",https://www.lankabusinessnews.com/category/fmcg/,yes
"Export, FMCG & pharma",FMCG brands sold in Sri Lankan supermarkets,"Cargills (Ceylon) PLC (Kist, Magic, Kotmale, Supremo)","Biscuits, dairy, meat",Colombo 1,cargillsceylon.com,"Biscuit cartons, ice cream sleeves, dairy labels, meat packs, POS",Doubling biscuit production; multi-brand FMCG portfolio,https://halalfocus.com/sri-lanka-cargills-to-double-biscuit-production/,yes
"Export, FMCG & pharma",FMCG brands sold in Sri Lankan supermarkets,"Ceylon Biscuits Ltd (Munchee, Ritzbury, Tiara, Samaposha)","Biscuits, confectionery",Pannipitiya (verify),see source,"Biscuit cartons, chocolate wrappers, cereal cartons, POS displays",Diversified group; Rs 2 bn Sera launch via CBL Natural Foods,https://en.wikipedia.org/wiki/Ceylon_Biscuits_Limited,verify
"Export, FMCG & pharma",FMCG brands sold in Sri Lankan supermarkets,Maliban Biscuit Manufactories Ltd,"Biscuits, milk, water",Ratmalana,malibangroup.lk,"Biscuit cartons, milk powder packs, water labels, Zellers wrappers",Group diversifying (Maliban Biosimilars pharma plan); ongoing demand,https://www.malibangroup.lk/,yes
"Export, FMCG & pharma",FMCG brands sold in Sri Lankan supermarkets,Little Lion Associates (Pvt) Ltd,Bakery/confectionery,n/a,malibangroup.com,"Cookie/cake/wafer cartons, wrappers",4-decade bakery brand in Maliban group; ongoing demand,https://www.malibangroup.com/little-lion/,yes
"Export, FMCG & pharma",FMCG brands sold in Sri Lankan supermarkets,Harischandra Mills PLC,"Noodles, coffee, flour",Matara,see source,"Noodle packs, coffee labels, flour bags, cartons",Listed food processor since 1953; ongoing demand,https://en.wikipedia.org/wiki/Harischandra_Mills,yes
"Export, FMCG & pharma",FMCG brands sold in Sri Lankan supermarkets,Uswatte Confectionery Works,Confectionery,n/a,see source,"Jujube/candy wrappers, cartons",Trusted confectionery brand; ongoing demand,https://www.kapruka.com/online_brands.jsp,yes
"Export, FMCG & pharma",FMCG brands sold in Sri Lankan supermarkets,Edna Group (Edna chocolates),Chocolate,n/a,see source,"Chocolate cartons, wrappers, gift boxes",Large chocolate market share; ongoing demand,https://ensun.io/search/chocolate-manufacturing/sri-lanka,yes
"Export, FMCG & pharma",FMCG brands sold in Sri Lankan supermarkets,Ceylon Chocolates (Kandos),Chocolate,n/a,see source,"Chocolate cartons, wrappers, seasonal gift boxes",Major chocolate competitor; ongoing demand,https://ensun.io/search/chocolate-manufacturing/sri-lanka,yes
"Export, FMCG & pharma",FMCG brands sold in Sri Lankan supermarkets,Anods Cocoa (Pvt) Ltd,Chocolate,n/a,see source,"Chocolate wrappers, cartons",EDB-registered exporter; ongoing demand,https://www.srilankabusiness.com/exporters-directory/company-profiles/anods-cocoa-pvt-ltd/,yes
"Export, FMCG & pharma",FMCG brands sold in Sri Lankan supermarkets,CBL Foods International,Chocolate,n/a,see source,"Chocolate wrappers, gift boxes, export cartons",Building chocolate export business (EconomyNext feature),https://economynext.com/video/cbl-group-cbl-foods-international-building-the-future-of-sri-lankas-chocolate-industry/,yes
"Export, FMCG & pharma",FMCG brands sold in Sri Lankan supermarkets,Nestle Lanka PLC,"Dairy, noodles, beverages",Kurunegala factory / Colombo,nestle.lk,"Milk powder cartons, Maggi packs, Nestomalt labels, POS",Rs 2 bn+ Kurunegala factory investment; MAGGI Ricey launch,https://www.ft.lk/Front-Page/Nestl%C3%A9-reaffirms-commitment-to-Sri-Lanka-with-fresh-investment-of-over-Rs-2-b/44-742493,yes
"Export, FMCG & pharma",FMCG brands sold in Sri Lankan supermarkets,Unilever Sri Lanka,"Personal & home care, foods",Horana / Colombo,see source,"Soap cartons, shampoo labels, detergent packs, POS",Largest HPC player; ongoing demand,https://en.wikipedia.org/wiki/Unilever_Sri_Lanka,yes
"Export, FMCG & pharma",FMCG brands sold in Sri Lankan supermarkets,Fonterra Brands Lanka (Anchor) - now Lactalis,Dairy,Biyagama (verify),fonterra.com/lk,"Milk powder packs, yoghurt labels, cartons",Ownership moved to Lactalis (finalised Q1 2026): likely pack/brand transition,https://www.fonterra.com/lk/en/about-us.html,verify
"Export, FMCG & pharma",FMCG brands sold in Sri Lankan supermarkets,Prima Ceylon / Ceylon Agro Industries (Prima KottuMee),"Flour, noodles",Trincomalee / Colombo,prima.com.lk,"Noodle packs, flour bags, cartons, POS",New KottuMee Hot 'N' Spicy fusion flavours launched,https://prima.com.lk/businesses/ceylon-agro-industries-limited/,yes
"Export, FMCG & pharma",FMCG brands sold in Sri Lankan supermarkets,Serendib Flour Mills (Pvt) Ltd,Flour,Colombo (verify),see source,"Flour bags, retail packs",EDB-registered; ongoing demand,https://www.srilankabusiness.com/exporters-directory/company-profiles/serendib-flour-mills-pvt-ltd/,verify
"Export, FMCG & pharma",FMCG brands sold in Sri Lankan supermarkets,Convenience Foods (Lanka) PLC (Lankasoy),"Soya, snacks, cereals",n/a,conveniencefoodslanka.com,"TSP pouches, snack packs, cereal cartons, kottu mix packs",Listed; Cargills group; ongoing demand,https://www.conveniencefoodslanka.com/,yes
"Export, FMCG & pharma",FMCG brands sold in Sri Lankan supermarkets,Keells Food Products PLC (Krest),Processed meat,n/a,keellsfoods.lk,"Meat packs, labels, cartons",Market leader processed meat; ongoing demand,https://www.keellsfoods.lk/,yes
"Export, FMCG & pharma",FMCG brands sold in Sri Lankan supermarkets,Bairaha Farms PLC,Poultry,Colombo,bairaha.com,"Chicken packs, labels, cartons",500 t cold storage commissioned Mar 2026; Keells Platinum award,https://www.dailymirror.lk/business/Bairaha-secures-Platinum-at-Keells-Partner-Power-2026/215-339731,yes
"Export, FMCG & pharma",FMCG brands sold in Sri Lankan supermarkets,Crysbro,Poultry,n/a,crysbro.com,"Chicken product packs, labels, cartons",Launched 2 new poultry products; new feed plant Wariyapola,https://www.ft.lk/Dining/Crysbro-launches-2-new-poultry-products-to-local-market/39-725438,yes
"Export, FMCG & pharma",FMCG brands sold in Sri Lankan supermarkets,"Lanka Milk Foods (CWE) PLC (Ambewela, Lakspray)",Dairy,Colombo / Ambewela,lmfgroup.lk,"Milk powder packs, yoghurt labels, cheese cartons",Dairy farm expansion; US$70.5M revenue FY26,https://lmfgroup.lk/,yes
"Export, FMCG & pharma",FMCG brands sold in Sri Lankan supermarkets,Milco (Pvt) Ltd (Highland),Dairy,Colombo (Narahenpita),milco.lk,"Milk powder packs, yoghurt labels, cartons","200,000 L/day capacity; ongoing demand",https://milco.lk/our-factories/,yes
"Export, FMCG & pharma",FMCG brands sold in Sri Lankan supermarkets,Pelwatte Dairy,Dairy,Buttala (Monaragala),pelwattedairy.com,"Milk powder packs, UHT cartons, yoghurt labels","New products (drinking yoghurt, UHT, infant milk); +50% milk powder capacity",https://www.thecattlesite.com/news/52742/new-dairy-products-to-nourish-sri-lanka,yes
"Export, FMCG & pharma",FMCG brands sold in Sri Lankan supermarkets,Richlife Dairies Ltd,Dairy,n/a,see source,"UHT cartons, yoghurt labels",First UHT tetra-pack producer; ongoing demand,https://www.kapruka.com/shop/dairy-milk-brands-in-sri-lanka/,yes
"Export, FMCG & pharma",FMCG brands sold in Sri Lankan supermarkets,Lucky Lanka Milk Processing Co PLC,Dairy,n/a,see source,"Yoghurt labels, milk packs",Innovative dairy since 1991; ongoing demand,https://www.kapruka.com/shop/dairy-milk-brands-in-sri-lanka/,yes
"Export, FMCG & pharma",FMCG brands sold in Sri Lankan supermarkets,"Ceylon Cold Stores PLC (Elephant House, SMAK)","Beverages, ice cream",Colombo,elephanthouse.lk,"Bottle labels, shrink sleeves, ice cream sleeves, juice packs, POS",Launched Campa beverages with Reliance; SMAK range,https://www.adgully.com/post/5040/reliance-consumer-products-launches-campa-beverages-in-sri-lanka-with-ceylon-cold-stores,yes
"Export, FMCG & pharma",FMCG brands sold in Sri Lankan supermarkets,Coca-Cola Beverages Sri Lanka,Beverages,Biyagama (verify),see source,"Labels, shrink sleeves, POS",Major bottler; ongoing demand,https://procoolmfg.com/top-beverage-companies-in-sri-lanka/,verify
"Export, FMCG & pharma",FMCG brands sold in Sri Lankan supermarkets,My Cola Beverages,"Beverages, water",n/a,see source,"Bottle labels, shrink packs",25-year bottler; ongoing demand,https://en.wikipedia.org/wiki/My_Cola_Beverages,yes
"Export, FMCG & pharma",FMCG brands sold in Sri Lankan supermarkets,Lion Brewery (Ceylon) PLC,Beer,Biyagama,see source,"Beer labels, can/carton packs, POS",2m hl brewery; VLB Berlin member,https://en.wikipedia.org/wiki/Lion_Brewery_(Sri_Lanka),yes
"Export, FMCG & pharma",FMCG brands sold in Sri Lankan supermarkets,Rockland Distilleries (Pvt) Ltd,Spirits,Colombo,see source,"Spirit labels, gift cartons","Gold across range, London Spirits Competition 2026",https://lk.linkedin.com/company/rockland-distilleries-pvt-ltd,yes
"Export, FMCG & pharma",FMCG brands sold in Sri Lankan supermarkets,Distilleries Company of Sri Lanka PLC,Spirits,Colombo,see source,"Labels, cartons",Largest arrack producer; ongoing demand,https://en.wikipedia.org/wiki/Intoxicants_in_Sri_Lanka,yes
"Export, FMCG & pharma",FMCG brands sold in Sri Lankan supermarkets,DCSL Breweries Lanka (ex-Heineken Lanka),Beer,n/a,see source,"Beer labels, cartons",Rebranded from Heineken Lanka: label/brand transition,https://en.wikipedia.org/wiki/DCSL_Breweries_Lanka,yes
"Export, FMCG & pharma",FMCG brands sold in Sri Lankan supermarkets,Hemas Manufacturing (Pvt) Ltd,Personal & home care,Dankotuwa (verify),hemas.com,"Baby Cheramy cartons, Clogard cartons, shampoo labels, Diva packs, POS",Leading HPC manufacturer; ongoing demand,https://www.srilankabusiness.com/exporters-directory/company-profiles/hemas-manufacturing-pvt-ltd/,verify
